fault,region,L_km,z_km,slip_rate_mm_a,sr_err_mm_a,dip_deg,dip_err_deg
kongur_shan,tibet,147,10,6.5,2,30,10
leo_pargil,tibet,56,10,1,0.8,25,10
gurla_mandhata,tibet,44,10,4.5,2,33,10
s_lunggar,tibet,20,10,2.5,0.5,22,5
n_lunggar,tibet,32,10,2,1,25,5
pqx_qingdu,tibet,15,10,1,0.5,30,5
pqx_n,tibet,11,10,1,0.5,25,7.5
nqtl,tibet,115,10,2.5,1.5,30,8
alto_tiberina,italy,60,4,2.4,0.3,25,5
death_valley,w_us,38,10,2,1,27.5,8.5
panamint_valley,w_us,58,10,3.5,1.5,20,10
canada_david,w_us,20,10,3,2,20,10
sevier_desert,w_us,98,8.5,2.5,1,13.5,1.5
dixie_valley,w_us,21,10,0.6,0.4,20,10
dayman_dome,se_asia,80,10,5,4.8,20,10
papangeo,se_asia,27,10,5,4.8,20,10
tokorondo,se_asia,72,10,5,4.8,10,8
cordillera_blanca,andes,100,10,6,4,30,10
kuzey,turkey,130,10,1,0.9,17,2
guney,turkey,124,10,1,0.9,7,7
